# op|a_le_hex|b_le_hex|expected_le_hex
cyclotomic_square|ddb49ed13f97d5c54813cce1e760a77ee67d6ab6b847e9bac85431d3c2b9d8155b033d926446b5aa60cf9c44a8a0cd67cd98f9756644a41e39b703986fd01a28e0bab705929f69a1c99b663afccac12145b23897da777b21096c1e415aee2b1b612e7fdfea68079bbdf8c11e602021bf06e6515d961d3768be2dbc3d741f9d2bbf190330a162229972fa1c30dc9bd976cb642f6c73723dbd413d1ad52921d7101f5d6b572c695c06eb0240fc6d76ce6b0bcfe35ac11993b2bd87791a176a4c19049a00d8067f89290bda23c89063746c07e06717f30e7cbc185e2b4e2e29631dd91c48ffddbf224bb9f1e3ac71463cdb51d1ccf894a8abc0764a404d4fd0a316bf4d89eb7e8f36296f162c35579743d2b13c24aa927fb0c836cf04cb67ad831a2e3f5a6439e5e337c074e4a626207455f8324079b9369f2bd3a13f2b5d34fc1857caae2f24ef48bd7df89eb4c35a594c18a1896e7b56730dba05f7476b04950b56ad589274575775cca411340dc7a4f088c80ec7a17da2324360cfe948c8fe20|-|d4a9d03e97fc1862286f802dc42354b00b0788cc75603b916685e8a4991e341ef3745a6a80f42a51036608103e8fa4e131ab580fdb26d6979eb50a058531880fe5a265c43d6b74ecb1bfe2a5c6d4b4566de1477cbe707e7a3abb1e6574f5ed2c092f4d629629bfb95f40bf9cc6962b00b8ef25daf8eff50368ffabc91832b60a631a79f702958e49220b5fa59cfd1a61a9fe0fa5945f28b6cb435c9d5be1e507c29b215969b9f46b80e6f85087adeb6a719d43e405c5e36cbd02965143e12c11da9f09ce5c11262141e2b8d61102084c83abd2de145b1d60a4f12cffeaeee20cf8892f257764fae84140f9c994e9459a6b34e89f3c2e058693bf944787032e30490dd19343f11f8acc2055b48960e58c3c0cbd48222e47f42c9058618a0b53197c6194068256a41bbfd44ff91a781b9b79a65d4f3e40b7ba0e5ad82908a5f425e4a8f27a7495b7be905365d10d565232106dbd10586d6d35671382b060fa202e29a37892dd73f5e9bbb35e80f326c2c6174bee5b6626341c45fc3f7bf2d75a00
add|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|d5295c849a2d68c837b469dfb25743d14f99b35bea84ba94467251dfa7984c269c515ac95c8622a8e6173f687a332f8a977b392f95fe6bdcf865cea256f867089a06de1d46a626d6c9d7d0c1cafe0af2efc3c5358face67260e42cbfaa0fba2328b8eecb9b228799fd40a51423d21f23a04f3729a9d1a35e4d28b4ea9e26c915a2b5cb53f5c86b65424121cb03c21961afea784a7ef520d5ec8586c3b928f11d35375edbec2bdcab4214946b7a7c0078dcb18de50148ad1484c2f7e5c38e300492caeee8e7550d6e7265967233a88f672c5eb1b1cd8efc6eb8462c49201a7d13b2e3b969a6ff365c26c458af0c9a2684e93629d6d4d96aa09f9f8165db1ec91928bce4d04cf5874159c207775dbc06947a30cd54aeb3854e23c34e9c7226ae1a03c2cf90a2ec7c6b0b36b01d5401cbe79004a8bfad767365f8fbcab5304d0a1fd680f064e479e35870814dd0d0230b03ff6bfdb1d93a34435151f8813a9fdb04bb78821e8ebb2e87e03b8d9d2bc1f482d7743b822d34c92e5930f73bd4f20e30|81900b31514895041c143242ee3c07ccf7cb1425fc9355baaef633a3e0407c24d94005e7ff8d7d7c51cde6e9dd01fd3bdedfa24ddab04d8578e81b2f611fb429e9e4f4413798a42df8ae872ae0c0d352706fb7cce31779f9b5d193bb5218d919415c2ca4a9b7bd5a51aa804f2d5c838178fe50b918d863f36bffe74dbba5cb109020cfa659cd73c18af2297b8ec90f0d1f22faf0bdab510d898fe0fb79371d1e7b5e2e6712a0abac009acba7684fab276749e7b593161222384cc54b06d76e0413c5ef16a1d7c179dcee7e62b36fe55e41d1f91b2ad3ee143d013306105ffa0b7eca74d5d72d0b1926fc32b574ea6c53d034be430111850520be72b46df3ef2f9858f4eb374b524fb8519136a78cb98c264ee49ca627956e8a819f4527a54506b7fa95a06c66dc56684acc5f6574370263f83a248cfcf7c35214322ba2f7c12ec019cb0fab34b76f690465be3072083edaa5c9a50056d252b0a1accf58a03d1558f35fd7d176ad98bb08a4e4618845e7ab9e051a851fff5b8fc68784420ca813
sub|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|d5295c849a2d68c837b469dfb25743d14f99b35bea84ba94467251dfa7984c269c515ac95c8622a8e6173f687a332f8a977b392f95fe6bdcf865cea256f867089a06de1d46a626d6c9d7d0c1cafe0af2efc3c5358face67260e42cbfaa0fba2328b8eecb9b228799fd40a51423d21f23a04f3729a9d1a35e4d28b4ea9e26c915a2b5cb53f5c86b65424121cb03c21961afea784a7ef520d5ec8586c3b928f11d35375edbec2bdcab4214946b7a7c0078dcb18de50148ad1484c2f7e5c38e300492caeee8e7550d6e7265967233a88f672c5eb1b1cd8efc6eb8462c49201a7d13b2e3b969a6ff365c26c458af0c9a2684e93629d6d4d96aa09f9f8165db1ec91928bce4d04cf5874159c207775dbc06947a30cd54aeb3854e23c34e9c7226ae1a03c2cf90a2ec7c6b0b36b01d5401cbe79004a8bfad767365f8fbcab5304d0a1fd680f064e479e35870814dd0d0230b03ff6bfdb1d93a34435151f8813a9fdb04bb78821e8ebb2e87e03b8d9d2bc1f482d7743b822d34c92e5930f73bd4f20e30|1e3ad0003379e5af3976d0eb19f801c1b5f12eefddcf30494bb2c2c5035e4708a19d50544681382c849d6819e99a9e27afe82fefafb375cc861c7fe9b32ee418fcd4b5dec1d777bdf1c9570fdc2d3f06ee3fade27b04fccb1ea96b1e7047c90238e9cbe488fecf63e3f2a78e7822c5d295b763e87c7a6ceefa4eb159f0a69d1593b2b4d785c7bc32933a594d18b05de21da589dd7706601bd923055679349f1258edee884fd41391083c153905c12bcf0b3e4d6c46cc07b159670761f107722c362d8f1de8b7c7d984eec3e5dd894727466d183a45fb45eff5130c554279641561007edaa1babd9c663ef3beec20a1e25a1fed180ea3ff7c0a1fa1ca2904c22c8fdda722b5ec62089397f3b07d7e2dfc8e45cb740006da896d9b33eeb4a64d01f87373573e1903bcdea8dd8c4edc22ca9e476c26e75461b18bbccda0b3ab11211418ea45e240f0bd8801ca1d8f2af237dccdce414de069cc0dffbbcbe361860b70fc544be317910215266d7a2ddb5e10b865911897420d6f30a6fcce7fc35214
mul|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|d5295c849a2d68c837b469dfb25743d14f99b35bea84ba94467251dfa7984c269c515ac95c8622a8e6173f687a332f8a977b392f95fe6bdcf865cea256f867089a06de1d46a626d6c9d7d0c1cafe0af2efc3c5358face67260e42cbfaa0fba2328b8eecb9b228799fd40a51423d21f23a04f3729a9d1a35e4d28b4ea9e26c915a2b5cb53f5c86b65424121cb03c21961afea784a7ef520d5ec8586c3b928f11d35375edbec2bdcab4214946b7a7c0078dcb18de50148ad1484c2f7e5c38e300492caeee8e7550d6e7265967233a88f672c5eb1b1cd8efc6eb8462c49201a7d13b2e3b969a6ff365c26c458af0c9a2684e93629d6d4d96aa09f9f8165db1ec91928bce4d04cf5874159c207775dbc06947a30cd54aeb3854e23c34e9c7226ae1a03c2cf90a2ec7c6b0b36b01d5401cbe79004a8bfad767365f8fbcab5304d0a1fd680f064e479e35870814dd0d0230b03ff6bfdb1d93a34435151f8813a9fdb04bb78821e8ebb2e87e03b8d9d2bc1f482d7743b822d34c92e5930f73bd4f20e30|c8949dd1062abe44370f89ccf798584f6862076a8dd6b8c6a03fa8b3b7e05a0c9417ffca0832190f1a32e48de6fbfe1b0bf5ce3c45a906b9d969844de7ef3a1fd753d039b35b1de46796b1f161ee91b3ee55c2cfac30b12e62e61b6cc0bde405c598e6ce0a20cdd585183ce4c8248cba4ae9c2ade082deab403938772cb1db26d06f3e34442bcb757eadefa5e2022ec28ff079149410267f399c226a42826a2733c0511b1eadd9eb92b3471cd2ba5515e84acababd2b94784ae277350bfa8d204a68870b489a3a4a181b2d54eb55b189d124d8f4c580f29d33dbd01686c9762df67d7fc2cdadd0154aafbf20e94da45086a4af4c0092dc716a42293ad4d804182c6db668b449ca8658e41fdfe6b439adb6f9f85bc4ad78a13b405aed74eb18049f410d547fb767616990f00b93cbb5a14978f6f141ea6a279f5431827ad9410063a28e5e8c1b2d69f4dc59c5c5e4c043e072f602c202f829d33f02ed50e17112a4fec364d365b5892691c871f8512dd7304fb20d7e2aaf167d0c104ab3244203
square|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|-|ea24dcbb9e21ef2f05dd52ccdaa29c5ceba9448eec0f5c7571de2d616dc91a19d927b8b6da808aee32e170cf8477cdcdd6eb642fa07cd314f519a1c18c560e104a8fb3ce8fbca3531d41e7a4cdce7cb0737a50c592c7f5bd9c3b75bdb325e20099f9f36450889d391190dccfa4bcac1675e6c35c56e5d0a530747a85ca705b0be6ad1b38046db349190c769e4221dddc67a91d33f7d5f95dfe5602078728140f489ae0a7d4d2778c95876aef18fc9af995ac76a49aa42a7f82d477a5076f29038a8fa32b8bd95454495c713c2e7a30294b000aa9a45ff9b787a3c84a45e62b0d9c07a2f8b603f2beb870101697a30c261072d60d983de16567f223bd14cb4c16b200dd020779e8cd4392fd9d240c0e02522cf667801d02a9699e7f5ea21ba51e64b40a82eb8277596ed42bae3f6304ed74f27ea62a6df10a73ceabaa738a74287038531c8c477c5339ea86f4b73e8e4835d188e33620dc82b1d9b56f561d181015d47e862c5d3db01a8548418855b6bb998bc68f8db26de0cd879b5248747617
inv|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|-|18f5d735f36c889504372aff4acef19fb0a0b682ed043ede66ac574a4b82fb2fb921555b7030fa81222f4673af414d1b65b74a77a22dedc6c13e894eeb4ddc186ab9917cbd5607543bd5088e1ad97c89add984629baaf459c79106a9cd725826ddd952dcd5fbd92575dcab47aa911a1f008d1934c27abfbcb4328355889e732f90c221e75ac720ac1c9e8b46b22a63385783262f6891f5eaf29e8a7e6994740451fda10bf7be31dd28da3b6f4793443a7fa1020183f0a85ddbec0289ce63eb0f2967fb0d3628d889de626f210d879839a7702de5c598c38db910f5eeb9d7130bf0bdc8825507d667801fba73fefe8b314d2b878dfb2159b532366f84279a0f032476e887ce9cf351814c182f8e2d5a20380a8091077fd0d94697d81355e7992fc5fb33209e5195cc9c546c91ea6839d6be5a1a99f0c08e91f24ae1a193cabe2e0461decd929eaf184bd5f605f62fbae276025efcbae268a9935e9e7ccebb2303e0a2c080108ad03e38e9a22b900a5b66f8a145631cded2c8eb337e83da728929
conjugate|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|-|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e007f05ffd1467e4bf4957617108038aa08eb8cb795a3bb0d5a7b45f94210bb82077b16c26ce55d4c7f8d929762291a3bc8765aec138a0e3653a9814092e0793d1a9063f0e414aa35f2a0707640b62f4d0754e2e8b7078cf0df9841af564b81681493c4b6c84c12c15030b6552680f7147d8b64ee1cd8bfcb59cf87ca6b01a4ac205d64a22d50d14c2594475a7a311c845c821eb58d8f2ab2a8ca4f7d93544d022063852247bc4481ee2433e9b8c938af9b2bd63568a814cad2c9696fb791e6661c
frobenius|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|-|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e0a0ed2ba7384c5672215cae62d9cb3e516f4176371936e0faa1de4546827180fa0471a6133671fff453ec024389f9f16c1cead1f9d4cf8291e8354134917a02f4c9408abcc6fbc2251a7bc9153376aab9a1fc74e49d5b76e1ee3f04295f9332908863a4886d4ca251f3f053b51bbab711642c2735a7dbad99fa057db74a5ac226669e8afd1e7c1e8dec86f10b36aa3becb368d5e457eb2b24c16f501ba2045178374b0ab533e4cf75221087c5bcdd5a941fd9b0b402ed21ce191c3907724363020278b55bb0ffb92e8ea15444a6b26121db9fe5addbd9e5ab55a75cf1d207f004a303912fb5f57838760a1fa90b41aa69a73d7634b1b998f4fa588434a4a4a18ef7bab3fd4c4cd93a4bf29c89896b22f0c0b0acd0a68cc0adfc5bb8ccbeaa52664595bd0cdec2e0986a949e6077bc2c5eb31e639d0d13b620169e0409908ca08c77b38d1df72c545e784de02d537ef7c98c7e1920c57919af694f0ffe569d529
frobenius2|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|-|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c21e4424772a1edaa8ebe636d449984008fcd4d6f53fa552ffe9f6cd04c728ccc09de509094a2275edc4de9ef3a136084ad2c50fd0db2f24687a1a89b9d395ebd07e41b295eecd59131e0a743e624ac2328eabfc3bc75237c9ed6c17f201ca3751929e5eb581c30374005055125063803e81d110f2e7a1362f05f19b4d031b58e2897de285ddc1b61db0caa1a76d7c6812030938fa3f58bc0b0563dea8a1a9cb707745dd93eacb2a875ed8ae2f0b0417a830dd836dc588f0a7fdd7e3703b5cc801e9063f0e414aa35f2a0707640b62f4d0754e2e8b7078cf0df9841af564b81681493c4b6c84c12c15030b6552680f7147d8b64ee1cd8bfcb59cf87ca6b01a4ac20d5bd5d6be03640d4e4867302158bbde7abfc4ce7d8185cc3b4c70b55ff4f282fa079594d4d64bf4ecb20c9b94a260977f27527a41ded656deb591732ef4b4613
frobenius3|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|-|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e0a0ed2ba7384c5672215cae62d9cb3e516f4176371936e0faa1de4546827180f1f5f798c803c4690769e3a793c95a55735424c5480b895e2996ea8eea0d0eb2da5ab91cb51b613660f9511d3933bd533eb31339df552d0883059a438f6c4a818d8f4868b63b37437177aed29b132f504038b096fd710db141fea968796cd3d1367c4ad4faadaa551eb26ba8acf158557e7f9de44a3b411a31be588434a920d2a084cdd1c71534d3814bbba967d5025d42ec7c920539af35b182e03190cfccd19c6001af1bcc0883885fc766bd3b4bb0f4ddc8d5fa3928a4939b7357101ac612afdcc43c61b2cc9b8056ad06d00b666f1c2e4a91d6b2ab728dafaa89d28041a185881d19842c752a8e80a48a0f8d3ce67514d77b4abdd83ad4ada7554a763be0924aa4aeb5f1be4bd85fec932cc94617730025709ceef42d410955fd7b4a8360339217f3d73f858eb35e601228a847d1c4e02ca22a5feaade710c04fcec538312
cyclotomic_square|f3632c85cda64d78712a3acbcc4f4592058be24ac854ebdd912414a5abf6932e3defaa1da3075bd46ab5a78163cecdb14664691e45b2e1a87f824d8c0a274c2196db93fc077e9e93bba128d1a62c4af8dd0373180bb1e23e7f8d98dd1a57832660a1bab0242157fde0334da39bf4e4f535079b11264c104d487765448fcd662bee6a03536404085c48b108b08a07f6ab6f3781a63fb630389c095a38c00e2c004627d08b2574cf00be85373ceed2aaaf8a9759d091ce640db489cd6542483e00c8f77d06d00dd547f7535a581132d78e72cbc9eb128a425eae5a389e6293e128cce6ba6b312ed4bcff37da05685046cfe6fd946d2c371a65801ef14e92d42616b7998cf301e2ea49ec59fb27db3a3490097698c9aeb95fd8905e828a27cdfb1bb438c60fca795feb5c141c4211736c1ad2f39264de85845e5a18677571aab70fea98daaac6bad316f98217ee5f4efd3adb39ccf3261b9e0f5f50b44d1e016210e4775a915a479f4d689788afc731d2fb31824b190e3186e55f36c229e167fd13|-|183cb85134dcea88ea916f1fc822aad87f29b2adfe71a52799a814b5996b0c109ece7df9ad89d541eca273a67964f1dcaf359ff19f4791f536597d0605bec31206dcb90ddf60bbde1e1c8f0d44234b0c55de37e46794b63064bf831dc50b5525eb1b62b93cf21643dce667da71b45da8836bd1329fbe8bc6c4fe95d6134be9147d9542cd9a8dd7129938d724b01c50fe216841fb359b95e74d7242c309a12c2cd87b30fe1d355ea7eb5906ffe9574c0eed1f9957190d185f0894ff50da913410dcf7c236222e36f296337ffff8a4127a29a05eb9c9cb5da4efc3b803b29ae22a6511d16065e5e18b56ef94b73f9f4bbe1640a1ef116d48e229d19f6269e9e7152688fa8bea615fc0526119791c1d9b8b74185ecebeec0904b802077e7e4148005dc2795171b683da9f9dfd9d52b7e3907f71be83fad5e1a4d6078493a1f8e7265bff90de8c555a325cefb5e74950eedc644a430147b333495e3a2a33a4e5be1c09d9337caa6cf235a1fdcebc13a71fce172bf6a4f2967df7c9377f0d6072380b
add|6425d539381d92386a3617ccdbff0aa2cc8705fa8fa1920af857b9887353251e11e1608fa30ce847712284107c60af5b39ef91da64a4ff6ffd6d83d35cc7e500acb1a1a8793396f7d820d60aa031ce5e8ddc1eb8d8012e54b3201ae347eaee23a5c4b8a29f8fc99771c283d66eeb0fe18998a3620c5d9388e8db98d85aa47d17815568d0bc569676fde5ec1111aa6a4f0c0823b4595a7ef081f315d736e2ec2c026f609b1cf23a0b94b6710ef1a6364b397131a2562aee039d61be42a0f5380470ea7346098385bf0a0c665b53a16f4af64183c682fd55615a57c91aa62b1d150cf107f70ed35face8335bfe881c6b70fc00c7dd1be34b4ad8b1f1258ffd0e2c9b3128ef78a732538658ba73a239f474f58a8c4c253831c49999f0df670b8310dbf0fd44b1c97df0684d6f161fbc51b8346cce1abd9a2785e1a27f0915bbb70e0059be7b809661bddfb5194ac1613a62326f127f47f99917fbad16f95a318f0969725cea37de9dd5898f5a607d0541859573548bc068c40ed679575740126015|c15a50a4bb7f8e52df552cc17f2b035c0b07c7663da0b48f3cb414592a9283085aba5ce90889281423bb5e9f20e391ebcf9d807e324010192ae18c69f6743430b2ffa7d2ac53b18b00b2eb7a39a0d32afedcecb2fdd418757554094a5994761262a0b4d67f62336f232798e75385782c61b24e840c5da0ebb64f64092bbd26073674c9137a403d34e011d47231d03b53d49b71fb67d96574dbddf826d2fbcf077e02f3f7133184b60051e356171ee7cecb9e2b52694eb0c334cf4ac45c842c19b8386fb5c6008a8bae616fede48bfc8bb64e0ce5ffc43c170a7c37c63818590b3479d41b038770fe052a341930838e5f416ed50b750c67b068908ad06b9286180a0c5b29062ce2b14797a9b77f401f2d6264cecb920fa058d48ae2285c337222e33c7bf3b1fef4461205aca12b73079d9c16cd36d2e95c92f978aa1d6be7f420c9f52696bdf6fc808b6b8d40f1c3f157cfac740b9cd278d3497cfcc0ecca5421bfee1c8904d723abcfbd67b2e5cfbc73a52ff0d60eb10fba9b60233c060efe10|258025def39c208b498c438d5b2b0efed78ecc60cd41479a340ccee19de5a826249e40a09509f01f071371470bd9bfafab3491d7e09ebfd0fdaede5be0edb50017b4cca20ffb26474c08501d486720f22d618ae91f91f610ffd4f14b2e30010607656d791ff2fc0695e91bbec270880deb4af2e618ba33749f2bfde18561a41e70ccb40b200bb36e502d4f1cb10f250b834b132e0bee93ac3331dd1c968f5804807153933023bfc19407556508c51d1a05105df4bf789ec7d1300907fd79651d2823e3fbcf830f4bb96dd548382d6cd6ac908fab82c2927864d300e1de437620f96c5f3afbcdaf6e61931daf27357838e0161b68daa9624217a24a15884131145e4006406847f4c84025f2c2900f920afa96d996010281644484a12751f09002be2d793863c872377b521bb84a2f5955d1829b518f848417db1b2a2780a2ac2fc94ee5113e8d5e3e6b21a78ab2252cba011c878ae3cb12eb442a13ba47fce32a286179733cb5c180594dc21263d5fdf83aa34462cf19d4c871da7a9346205e26
